date,SHY
2011-05-02,-0.000164
2011-05-03,0.000357
2011-05-04,0.000476
2011-05-05,0.000238
2011-05-06,0.000119
2011-05-09,0.000475
2011-05-10,-0.00095
2011-05-11,0.000951
2011-05-12,-0.000475
2011-05-13,0.000475
2011-05-16,0.000475
2011-05-17,0.000119
2011-05-18,-0.000475
2011-05-19,0.000119
2011-05-20,0.000356
2011-05-23,0.000119
2011-05-24,0.0
2011-05-25,0.000451
2011-05-26,0.000617
2011-05-27,0.000356
2011-05-31,0.0
2011-06-01,0.000664
2011-06-02,-0.000593
2011-06-03,0.000356
2011-06-06,0.000119
2011-06-07,0.000711
2011-06-08,0.000118
2011-06-09,-0.001066
2011-06-10,0.00083
2011-06-13,-0.000355
2011-06-14,-0.00083
2011-06-15,0.001423
2011-06-16,0.000118
2011-06-17,0.000237
2011-06-20,0.0
2011-06-21,0.000118
2011-06-22,-0.000237
