date,ICLN,PBW,QCLN,SPY,XLE
2009-10-21,-0.006542,-0.007319,-0.007834,-0.008983,-0.002695
2009-10-22,0.007726,0.000922,-0.003281,0.010164,0.003884
2009-10-23,-0.032061,-0.014733,-0.025726,-0.011433,-0.019344
2009-10-26,-0.024752,-0.028037,-0.012187,-0.010825,-0.016467
2009-10-27,-0.005538,-0.010577,-0.018506,-0.004583,0.008894
2009-10-28,-0.04594,-0.061225,-0.034909,-0.018887,-0.033016
2009-10-29,0.026751,0.044514,0.015912,0.021454,0.026636
2009-10-30,-0.032212,-0.041625,-0.033469,-0.028973,-0.037959
2009-11-02,-0.021048,-0.008273,-0.011061,0.007339,0.006335
2009-11-03,0.024275,0.01877,0.020864,0.003163,0.01295
2009-11-04,0.006077,-0.0174,-0.008686,0.00258,-0.000888
2009-11-05,0.029112,0.038542,0.034092,0.018396,0.017061
2009-11-06,-0.008015,-0.002006,-0.009257,0.00262,-0.002621
2009-11-09,0.034221,0.023116,0.024148,0.022776,0.019096
2009-11-10,-0.021599,-0.010806,-0.009558,0.000183,0.000688
2009-11-11,0.002818,0.003972,0.008942,0.00511,-0.000344
2009-11-12,-0.022014,-0.029674,-0.023462,-0.010168,-0.021997
2009-11-13,0.029694,0.021407,0.024026,0.005411,0.006326
2009-11-16,0.02394,0.041916,0.031229,0.014505,0.026192
2009-11-17,-0.009757,-0.010536,-0.002772,0.00116,-0.001702
2009-11-18,0.007161,0.002904,-0.001639,-0.00062,-0.00392
2009-11-19,-0.014028,-0.016409,-0.019152,-0.013031,-0.022416
2009-11-20,-0.005682,-0.006869,-0.01046,-0.003551,-0.009277
2009-11-23,0.003949,0.007905,0.01198,0.012702,0.012898
2009-11-24,-0.007057,-0.012745,-0.002786,0.001534,0.005756
2009-11-25,0.0127,0.010924,0.009078,0.003514,0.007804
2009-11-27,-0.016572,-0.020629,-0.012457,-0.016251,-0.018758
2009-11-30,0.0103,0.002006,0.001402,0.003377,-0.003508
2009-12-01,0.014359,0.037037,0.033597,0.01237,0.0132
2009-12-02,0.003653,0.004826,0.010826,-0.000449,-0.005906
2009-12-03,0.00091,0.000961,0.008038,-0.00782,-0.016076
2009-12-04,-0.002727,0.002879,0.01196,0.005708,-0.007281
2009-12-07,0.030082,0.022967,0.014708,-0.001531,-0.002326
2009-12-08,-0.015221,-0.007484,-0.009318,-0.011097,-0.017034
2009-12-09,-0.006515,-0.002828,0.003272,0.00375,0.0
2009-12-10,-0.005925,-0.003781,-0.005215,0.005626,0.012404
2009-12-11,-0.000455,0.003795,-0.007199,0.004248,0.000541
2009-12-14,0.015931,0.017959,0.025709,0.00684,0.010265
2009-12-15,0.004924,0.005571,0.005141,-0.004648,0.003209
2009-12-16,-0.003562,-0.00277,0.003197,0.001527,0.006397
2009-12-17,-0.021477,-0.009259,-0.014659,-0.012016,-0.008475
2009-12-18,-0.009145,0.004673,0.002587,0.005629,0.005243
2009-12-21,0.015081,0.027907,0.036774,0.010162,0.011932
2009-12-22,0.006043,0.004525,0.004356,0.003593,0.004752
2009-12-23,0.003648,0.003604,0.001735,0.001969,0.007882
2009-12-24,0.009982,0.000898,0.003835,0.004734,0.004692
2009-12-28,-0.004492,-0.001794,-0.005915,0.002134,0.00173
2009-12-29,0.004061,-0.004492,-0.004587,-0.001402,-0.006562
2009-12-30,-0.001438,0.006318,0.004103,-0.000373,-0.001043
2009-12-31,0.0018,-0.013453,-0.003467,-0.009598,-0.008004
